Vardas         Pavarde         Galutinis (Vid.)  Galutinis (Med.)
-----------------------------------------------------------------
Vardas1008710  Pavarde1512248  5.74              6.20              
Vardas1135709  Pavarde950335   5.36              5.40              
Vardas1278255  Pavarde3873235  5.30              5.20              
Vardas1331572  Pavarde3092164  5.13              4.80              
Vardas1537773  Pavarde8795991  5.60              5.60              
Vardas1861331  Pavarde1958411  7.00              7.00              
Vardas2148136  Pavarde8724756  7.68              7.40              
Vardas220609   Pavarde7770464  5.63              5.40              
Vardas232417   Pavarde908123   7.48              7.40              
Vardas239741   Pavarde1405527  8.88              9.00              
Vardas2453170  Pavarde8710627  5.10              5.00              
Vardas2854145  Pavarde5056744  7.27              7.60              
Vardas2906549  Pavarde3407484  6.96              7.20              
Vardas2945593  Pavarde8042161  6.40              6.40              
Vardas3250861  Pavarde2653833  5.40              5.40              
Vardas3382721  Pavarde4534801  8.40              8.80              
Vardas3384713  Pavarde7268336  6.92              6.80              
Vardas3401634  Pavarde1929639  6.02              6.00              
Vardas3456813  Pavarde8845837  7.20              7.20              
Vardas3487002  Pavarde7270902  7.43              7.40              
Vardas3813869  Pavarde8884329  5.06              5.40              
Vardas4195541  Pavarde9242160  5.40              5.40              
Vardas4547999  Pavarde3295051  7.67              7.80              
Vardas4590757  Pavarde3004018  5.93              5.80              
Vardas4861935  Pavarde1690803  7.10              7.00              
Vardas4904777  Pavarde633594   5.89              6.00              
Vardas5045591  Pavarde6591462  5.80              5.80              
Vardas5100367  Pavarde7358888  7.30              7.20              
Vardas5135704  Pavarde3594480  7.60              7.60              
Vardas5314117  Pavarde3353825  7.58              7.80              
Vardas5414260  Pavarde6308995  5.70              5.40              
Vardas55011    Pavarde5365099  7.11              6.80              
Vardas5535736  Pavarde770632   7.02              7.20              
Vardas5548611  Pavarde6357699  7.48              7.00              
Vardas5627337  Pavarde6931574  6.40              6.40              
Vardas5750721  Pavarde741865   7.33              7.40              
Vardas5810021  Pavarde2717327  7.30              7.20              
Vardas5931332  Pavarde2803126  7.20              7.20              
Vardas5985871  Pavarde4187372  6.45              6.40              
Vardas6333525  Pavarde1258845  6.04              5.80              
Vardas6502914  Pavarde9209997  7.80              8.20              
Vardas6514890  Pavarde6845190  5.53              5.80              
Vardas6544199  Pavarde197754   7.00              7.00              
Vardas66967    Pavarde1824567  7.73              7.60              
Vardas7629609  Pavarde3877344  8.35              8.60              
Vardas7729353  Pavarde6250947  5.12              5.00              
Vardas7745818  Pavarde8075518  7.33              7.20              
Vardas7904993  Pavarde5727102  6.35              6.60              
Vardas8112287  Pavarde5107998  5.75              5.80              
Vardas8158044  Pavarde3016894  5.92              5.80              
Vardas8194267  Pavarde8323670  7.86              7.40              
Vardas8229651  Pavarde1311897  7.60              7.60              
Vardas8288925  Pavarde7657330  6.71              7.00              
Vardas8617023  Pavarde1771266  8.00              8.00              
Vardas8657700  Pavarde3190660  7.90              8.40              
Vardas8908104  Pavarde9559420  6.33              6.00              
Vardas8947076  Pavarde4337195  6.80              6.80              
Vardas8999356  Pavarde8379035  5.70              5.60              
Vardas9365069  Pavarde3741370  6.27              5.60              
Vardas9392220  Pavarde2954544  7.60              7.60              
Vardas957153   Pavarde4207662  7.98              8.00              
Vardas9675103  Pavarde6577495  5.22              5.40              
Vardas983100   Pavarde3164612  5.40              5.40              
Vardas9831582  Pavarde4324648  5.00              4.60              
Vardas9835502  Pavarde3935681  6.78              6.80              
Vardas9882506  Pavarde9294326  5.67              5.40              
